Tumor_name,Abbr,Samples,TSS_code,Tumor_id
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGI-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGJ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGK-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGM-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGN-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGO-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGP-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGS-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGT-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGV-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGW-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGX-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGY-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGY-05,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGZ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAH0-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAH3-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAH4-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAH8-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHA-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHC-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHG-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHL-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHP-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAHT-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKG-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKG-05,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKH-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKL-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKM-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKO-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAKO-05,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAL5-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAL7-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALF-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALG-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALN-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALO-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALP-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALQ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALS-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALT-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALW-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALX-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AALZ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAM2-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAM3-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAM4-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2X-A9D5-01,2X,0
Testicular Germ Cell Tumors,TGCT,TCGA-2X-A9D6-01,2X,0
Testicular Germ Cell Tumors,TGCT,TCGA-4K-AA1G-01,4K,0
Testicular Germ Cell Tumors,TGCT,TCGA-4K-AA1H-01,4K,0
Testicular Germ Cell Tumors,TGCT,TCGA-4K-AA1I-01,4K,0
Testicular Germ Cell Tumors,TGCT,TCGA-S6-A8JW-01,S6,0
Testicular Germ Cell Tumors,TGCT,TCGA-S6-A8JX-01,S6,0
Testicular Germ Cell Tumors,TGCT,TCGA-S6-A8JY-01,S6,0
Testicular Germ Cell Tumors,TGCT,TCGA-SN-A6IS-01,SN,0
Testicular Germ Cell Tumors,TGCT,TCGA-SN-A84X-01,SN,0
Testicular Germ Cell Tumors,TGCT,TCGA-SO-A8JP-01,SO,0
Testicular Germ Cell Tumors,TGCT,TCGA-VF-A8A8-01,VF,0
Testicular Germ Cell Tumors,TGCT,TCGA-VF-A8A9-01,VF,0
Testicular Germ Cell Tumors,TGCT,TCGA-VF-A8AA-01,VF,0
Testicular Germ Cell Tumors,TGCT,TCGA-VF-A8AE-01,VF,0
Testicular Germ Cell Tumors,TGCT,TCGA-W4-A7U2-01,W4,0
Testicular Germ Cell Tumors,TGCT,TCGA-W4-A7U3-01,W4,0
Testicular Germ Cell Tumors,TGCT,TCGA-W4-A7U4-01,W4,0
Testicular Germ Cell Tumors,TGCT,TCGA-X3-A8G4-01,X3,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-A8H1-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-A8H5-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-A9SE-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AANI-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AANJ-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AANR-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AANV-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAO3-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAO4-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAO6-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOB-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOC-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOD-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOF-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOJ-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XE-AAOL-01,XE,0
Testicular Germ Cell Tumors,TGCT,TCGA-XY-A89B-01,XY,0
Testicular Germ Cell Tumors,TGCT,TCGA-XY-A9T9-01,XY,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A90P-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A90Q-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A90S-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A90W-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A90Y-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A912-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-A94I-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-YU-AA61-01,YU,0
Testicular Germ Cell Tumors,TGCT,TCGA-ZM-AA05-01,ZM,0
Testicular Germ Cell Tumors,TGCT,TCGA-ZM-AA0B-01,ZM,0
Testicular Germ Cell Tumors,TGCT,TCGA-ZM-AA0D-01,ZM,0
Testicular Germ Cell Tumors,TGCT,TCGA-ZM-AA0E-01,ZM,0
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-4074-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-4078-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5149-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5151-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5152-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5153-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5555-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5556-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-5559-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-6869-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-6870-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-6871-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-6872-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-6873-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A4IF-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A4IG-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A4IH-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A4II-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6D8-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DA-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DB-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DD-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DE-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DG-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DJ-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A6DL-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BA-A8YP-01,BA,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-4217-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-7861-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-7863-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-7866-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-A5HU-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-A5HZ-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-BB-A6UM-01,BB,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-C9-A47Z-01,C9,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-C9-A480-01,C9,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4722-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4723-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4725-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4726-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4728-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4729-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4730-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4731-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4733-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4734-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4736-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4737-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4738-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4740-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4741-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-4742-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5355-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5356-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5358-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5360-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5361-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5363-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5364-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5365-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5366-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5367-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5369-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5370-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5373-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-5374-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6010-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6011-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6013-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6016-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6017-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6018-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6019-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6020-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6021-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6022-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6023-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6024-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6988-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6989-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6992-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6994-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6995-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6996-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6997-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-6998-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A497-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A498-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A499-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A49A-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A49B-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A49C-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A63T-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A63U-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A63V-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A63W-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A641-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A642-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A6UY-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A6V1-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A6V3-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A6V6-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CN-A6V7-01,CN,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5323-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5324-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5325-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5327-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5329-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5330-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5331-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5332-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5333-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-5334-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6218-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6219-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6220-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6222-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6224-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6225-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6227-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6228-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-6229-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-7065-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-7068-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4C9-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CA-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CB-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CD-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CE-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CG-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CH-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CQ-A4CI-01,CQ,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5430-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5431-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5432-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5434-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5436-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5439-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5440-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5441-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5442-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5443-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5444-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5966-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5970-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5973-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5976-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5977-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5978-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-5979-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6003-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6433-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6436-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6441-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6933-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6934-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6935-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6936-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6937-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6938-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6939-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6940-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6941-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6942-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6943-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6945-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6948-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6950-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6951-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6952-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6953-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6954-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6955-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6956-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6959-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6960-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6961-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-6962-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7089-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7090-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7091-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7095-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7097-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7099-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7100-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7101-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7102-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7103-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7104-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7177-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7178-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7180-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7183-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7235-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7236-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7238-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7242-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7243-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7245-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7247-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7248-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7250-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7252-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7253-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7254-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7255-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7261-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7263-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7406-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7407-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7409-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7410-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7411-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7413-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7414-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7415-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7416-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7418-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7421-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7422-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7423-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7424-01,CV,1
Head and Neck squamous cell carcinoma,HNSC,TCGA-CV-7425-01,CV,1
